Provincia,Cantón
Guayas,General Antonio Elizalde
Guayas,Isidro Ayora
Guayas,Lomas de Sargentillo
Guayas,Marcelino Maridueña
Guayas,Milagro
Guayas,Naranjal
Guayas,Naranjito
Guayas,Nobol
Guayas,Palestina
Guayas,Pedro Carbo
Guayas,Playas
Guayas,Salitre
Guayas,Samborondón
Guayas,Santa Lucía
Guayas,Simón Bolívar
Guayas,Yaguachi
Imbabura,Ibarra
Imbabura,Antonio Ante
Imbabura,Cotacachi
Imbabura,Otavalo
Imbabura,Pimampiro
Imbabura,San Miguel de Urcuquí
Loja,Loja
Loja,Calvas
Loja,Catamayo
Loja,Celica
Loja,Chaguarpamba
Loja,Espíndola
Loja,Gonzanamá
Loja,Macará
Loja,Olmedo
Loja,Paltas
Loja,Pindal
Loja,Puyango
Loja,Quilanga
Loja,Saraguro
Loja,Sozoranga
Loja,Zapotillo
Los Ríos,Babahoyo
Los Ríos,Baba
Los Ríos,Buena Fe
Los Ríos,Mocache
Los Ríos,Montalvo
Los Ríos,Palenque
Los Ríos,Puebloviejo
Los Ríos,Quevedo
Los Ríos,Quinsaloma
Los Ríos,Urdaneta
Los Ríos,Valencia
Los Ríos,Ventanas
Los Ríos,Vinces
Manabí,Portoviejo
Manabí,24 de Mayo
Manabí,Bolívar
Manabí,Chone
Manabí,El Carmen
Manabí,Flavio Alfaro
Manabí,Jama
Manabí,Jaramijó
Manabí,Jipijapa
Manabí,Junín
Manabí,Manta
Manabí,Montecristi
Manabí,Olmedo
Manabí,Paján
Manabí,Pedernales
Manabí,Pichincha
Manabí,Puerto López
Manabí,Rocafuerte
Manabí,San Vicente
Manabí,Santa Ana
Manabí,Sucre
Manabí,Tosagua
Morona Santiago,Macas
Morona Santiago,Gualaquiza
Morona Santiago,Huamboya
Morona Santiago,Limón Indanza
Morona Santiago,Logroño
Morona Santiago,Morona
Morona Santiago,Pablo Sexto
Morona Santiago,Palora
Morona Santiago,San Juan Bosco
Morona Santiago,Santiago
Morona Santiago,Sucúa
Morona Santiago,Taisha
Morona Santiago,Tiwintza
Napo,Tena
Napo,Archidona
Napo,Carlos Julio Arosemena Tola
Napo,El Chaco
Napo,Quijos
Orellana,Francisco de Orellana
Orellana,Aguarico
Orellana,La Joya de los Sachas
Orellana,Loreto
Pastaza,Puyo
Pastaza,Arajuno
Pastaza,Mera
Pastaza,Santa Clara
Pichincha,Quito
Pichincha,Cayambe
Pichincha,Mejía
Pichincha,Pedro Moncayo
Pichincha,Pedro Vicente Maldonado
Pichincha,Puerto Quito
Pichincha,Rumiñahui
Pichincha,San Miguel de los Bancos
Santa Elena,Santa Elena
Santa Elena,La Libertad
Santa Elena,Salinas
Santo Domingo de los Tsáchilas,Santo Domingo
Santo Domingo de los Tsáchilas,La Concordia
Sucumbíos,Nueva Loja
Sucumbíos,Cascales
Sucumbíos,Cuyabeno
Sucumbíos,Gonzalo Pizarro
Sucumbíos,Putumayo
Sucumbíos,Shushufindi
Sucumbíos,Sucumbíos
Tungurahua,Ambato
Tungurahua,Baños de Agua Santa
Tungurahua,Cevallos
Tungurahua,Mocha
Tungurahua,Patate
Tungurahua,Quero
Tungurahua,San Pedro de Pelileo
Tungurahua,Santiago de Píllaro
Tungurahua,Tisaleo
Zamora Chinchipe,Zamora
Zamora Chinchipe,Centinela del Cóndor
Zamora Chinchipe,Chinchipe
Zamora Chinchipe,El Pangui
Zamora Chinchipe,Nangaritza
Zamora Chinchipe,Palanda
Zamora Chinchipe,Paquisha
Zamora Chinchipe,Yacuambi
Zamora Chinchipe,Yantzaza
